-0.3924  	-0.1531  	-0.2524  	0.48406  	0.07180  	0.19619  	0.05878  	-0.7970  	0.19907  	0.02712  	0.44708  	0.45016  	-0.0868  	-0.7597  	-1.4365  	0.93730  	-0.1473  	0.39022  	-0.3140  	0.67233  	-0.0419  	-0.2672  	-0.8344  	0.38877  	-0.2381  	-0.1558  	-0.5934  	-0.0563  	-0.1336  	-0.2162  	-0.2389  	0.28363  	0.32831  	-0.0766  	0.25728  	0.29760  	0.12419  	-0.0316  	-0.2610  	0.29968  	-0.0144  	0.02054  	-0.0049  	-0.0285  	-0.0893  	-0.0568  	0.05629  	-0.0121  	0.05020  	-0.0212  	0.00125  	0.00800  	-0.0100  	0.02908  	0.00689  	-0.0386  	0.03929  	0.00321  	-0.0423  	0.02839  	-0.0030  	0.00162  	0.03491  	-0.0087  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
-0.0545  	-0.0222  	-0.0473  	0.69511  	0.13481  	0.42794  	0.05548  	-0.7138  	0.24256  	-0.0425  	0.29775  	0.48165  	0.00454  	-0.5799  	-1.1539  	1.03255  	-0.1381  	0.33513  	-0.3150  	0.62213  	0.08757  	-0.2438  	-0.7297  	0.49965  	-0.2969  	-0.1583  	-0.5120  	-0.1808  	-0.2596  	-0.2170  	-0.2294  	0.31211  	0.34659  	-0.0706  	0.31798  	0.21257  	0.21623  	-0.0324  	-0.3011  	0.29200  	-0.0296  	0.03604  	-0.0176  	-0.0214  	-0.0906  	-0.0605  	0.04762  	-0.0086  	0.05051  	-0.0223  	0.00529  	0.01057  	-0.0038  	0.02544  	-0.0027  	-0.0368  	0.03236  	0.00460  	-0.0402  	0.02407  	0.01121  	0.01530  	0.04054  	-0.0059  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
0.23347  	0.05084  	0.18541  	0.73899  	0.07863  	0.65253  	0.10467  	-0.6807  	0.28649  	-0.0506  	0.09597  	0.38463  	0.05794  	-0.4428  	-1.0246  	1.02023  	-0.0989  	0.27951  	-0.3065  	0.53996  	0.09647  	-0.1474  	-0.6833  	0.43919  	-0.2104  	-0.1815  	-0.4862  	-0.2809  	-0.2652  	-0.1762  	-0.2463  	0.32835  	0.34517  	-0.0723  	0.30176  	0.22304  	0.24132  	0.00375  	-0.2778  	0.27656  	-0.0107  	0.02974  	0.03465  	-0.0211  	-0.1044  	-0.0520  	0.03971  	0.02604  	0.07194  	-0.0233  	0.00226  	0.01437  	-0.0063  	0.02582  	0.00674  	-0.0275  	0.02640  	-0.0005  	-0.0419  	0.03443  	0.00868  	0.00203  	0.04008  	-0.0157  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
0.15038  	0.06469  	0.11887  	0.76873  	0.10695  	0.57161  	0.11473  	-0.6650  	0.27710  	-0.0703  	0.22211  	0.39387  	0.01628  	-0.5076  	-1.1303  	1.06858  	-0.1334  	0.29145  	-0.3026  	0.59189  	0.13664  	-0.1663  	-0.7614  	0.45684  	-0.1384  	-0.1916  	-0.4234  	-0.2869  	-0.2426  	-0.1670  	-0.2710  	0.32283  	0.33481  	-0.0714  	0.34108  	0.24485  	0.27616  	0.01896  	-0.2816  	0.26922  	-0.0281  	0.03876  	0.01146  	-0.0181  	-0.1060  	-0.0504  	0.04120  	0.01563  	0.06716  	-0.0272  	0.01442  	0.01362  	-0.0012  	0.02818  	0.00606  	-0.0242  	0.03164  	0.00246  	-0.0331  	0.03473  	0.00201  	0.00352  	0.03883  	-0.0153  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
0.04821  	-0.0218  	-0.0628  	0.98436  	0.25465  	0.59062  	0.07155  	-0.7324  	0.21666  	-0.0678  	0.05292  	0.50229  	0.03080  	-0.5842  	-1.0977  	1.05270  	-0.1138  	0.32258  	-0.3086  	0.59929  	-0.0201  	-0.1752  	-0.8156  	0.38981  	-0.1247  	-0.1974  	-0.4448  	-0.1162  	-0.1340  	-0.1331  	-0.2874  	0.31623  	0.31534  	-0.0692  	0.27098  	0.26454  	0.16576  	-0.0157  	-0.2432  	0.29224  	-0.0506  	0.03767  	0.00497  	-0.0153  	-0.0978  	-0.0568  	0.04205  	0.00888  	0.07060  	-0.0298  	0.00461  	0.00641  	-0.0089  	0.02544  	0.01068  	-0.0337  	0.04335  	0.00114  	-0.0352  	0.03178  	-0.0003  	0.00081  	0.04332  	-0.0141  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
0.05660  	0.01138  	-0.0849  	1.08244  	0.29922  	0.63654  	0.08015  	-0.7255  	0.22820  	-0.1045  	-0.0434  	0.46046  	0.04053  	-0.5003  	-0.9296  	0.99026  	-0.1350  	0.33985  	-0.3133  	0.64142  	-0.0606  	-0.1352  	-0.8354  	0.38062  	-0.0651  	-0.1983  	-0.4756  	-0.0166  	-0.0104  	-0.0775  	-0.3039  	0.28290  	0.31479  	-0.0490  	0.27798  	0.28717  	0.09470  	-0.0554  	-0.2038  	0.31821  	-0.0647  	0.03529  	-0.0052  	-0.0154  	-0.0889  	-0.0590  	0.04361  	0.01098  	0.06439  	-0.0371  	0.01666  	0.00694  	-0.0066  	0.02253  	0.00731  	-0.0318  	0.04075  	0.00437  	-0.0388  	0.03089  	-0.0053  	-0.0017  	0.04251  	-0.0137  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
0.09961  	0.00971  	-0.0598  	1.08138  	0.26094  	0.66466  	0.08978  	-0.7105  	0.24684  	-0.1122  	-0.0679  	0.42895  	0.07258  	-0.4695  	-0.8635  	0.96169  	-0.1211  	0.31729  	-0.3091  	0.58175  	-0.0255  	-0.1314  	-0.7993  	0.38222  	-0.0740  	-0.2111  	-0.4655  	-0.1110  	-0.0382  	-0.0873  	-0.3156  	0.29226  	0.30521  	-0.0434  	0.30243  	0.27971  	0.12121  	-0.0434  	-0.2082  	0.32023  	-0.0600  	0.04966  	0.00124  	-0.0264  	-0.0870  	-0.0594  	0.03856  	0.01249  	0.06662  	-0.0314  	0.01859  	0.00968  	-0.0050  	0.02839  	0.00952  	-0.0266  	0.04365  	0.00618  	-0.0314  	0.02819  	-0.0026  	0.00796  	0.04124  	-0.0116  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
0.16631  	0.01938  	0.00237  	1.02257  	0.22218  	0.70169  	0.08533  	-0.6490  	0.25845  	-0.1140  	-0.0280  	0.41296  	0.05202  	-0.4571  	-0.8968  	1.00193  	-0.1207  	0.28106  	-0.2955  	0.53984  	0.01384  	-0.1084  	-0.7263  	0.43052  	-0.1116  	-0.2062  	-0.4539  	-0.1994  	-0.0978  	-0.1059  	-0.3259  	0.29682  	0.30208  	-0.0588  	0.31884  	0.25190  	0.17147  	-0.0256  	-0.2386  	0.30436  	-0.0689  	0.05902  	0.01973  	-0.0236  	-0.0930  	-0.0530  	0.03722  	0.02051  	0.06820  	-0.0291  	0.00953  	0.01295  	-0.0035  	0.02554  	0.01073  	-0.0277  	0.03692  	0.00468  	-0.0370  	0.03227  	-0.0048  	0.00234  	0.03596  	-0.0108  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
0.19658  	0.04847  	0.08316  	0.95039  	0.16941  	0.69952  	0.09499  	-0.6217  	0.28878  	-0.1084  	0.09846  	0.42160  	0.03812  	-0.4863  	-0.9563  	1.07566  	-0.1135  	0.27672  	-0.2794  	0.51781  	0.09045  	-0.1368  	-0.6978  	0.42965  	-0.1639  	-0.1931  	-0.4313  	-0.2973  	-0.1983  	-0.1397  	-0.2866  	0.30876  	0.32727  	-0.0628  	0.32922  	0.22841  	0.23870  	0.01535  	-0.2794  	0.27268  	-0.0590  	0.05072  	0.01335  	-0.0164  	-0.0920  	-0.0520  	0.04040  	0.01912  	0.06829  	-0.0258  	0.00244  	0.01594  	-0.0026  	0.02615  	0.01243  	-0.0270  	0.03085  	0.00666  	-0.0351  	0.03183  	0.00029  	0.00077  	0.03322  	-0.0162  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
0.15763  	0.08389  	0.12765  	0.79347  	0.07751  	0.65973  	0.06325  	-0.5806  	0.29493  	-0.1081  	0.23245  	0.46370  	0.00188  	-0.5198  	-1.0687  	1.13827  	-0.1272  	0.27966  	-0.2733  	0.50339  	0.17401  	-0.1684  	-0.6660  	0.43822  	-0.2411  	-0.1916  	-0.4462  	-0.3772  	-0.3218  	-0.1921  	-0.2537  	0.32628  	0.34740  	-0.0732  	0.33661  	0.19577  	0.32126  	0.05856  	-0.3153  	0.21122  	-0.0190  	0.02746  	0.01582  	-0.0195  	-0.0964  	-0.0568  	0.04180  	0.01393  	0.06651  	-0.0203  	-0.0108  	0.01456  	0.00117  	0.03385  	0.00582  	-0.0255  	0.02543  	0.00370  	-0.0389  	0.03012  	0.00697  	0.00772  	0.03561  	-0.0148  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
0.10852  	0.10926  	0.12731  	0.67604  	-0.0275  	0.58357  	0.05828  	-0.6147  	0.29922  	-0.0969  	0.38998  	0.45369  	-0.0282  	-0.5608  	-1.2018  	1.14331  	-0.1185  	0.27323  	-0.2918  	0.48775  	0.24058  	-0.1879  	-0.6385  	0.45208  	-0.2906  	-0.1802  	-0.4687  	-0.4012  	-0.4004  	-0.2283  	-0.2373  	0.33527  	0.35617  	-0.0809  	0.35121  	0.17218  	0.35349  	0.06864  	-0.3437  	0.19292  	-0.0043  	0.01994  	0.01277  	-0.0261  	-0.1049  	-0.0534  	0.04295  	-0.0014  	0.05414  	-0.0077  	-0.0078  	0.01459  	0.00623  	0.03344  	0.00322  	-0.0268  	0.02177  	0.00541  	-0.0387  	0.02866  	0.00968  	0.01618  	0.03479  	-0.0147  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
0.20963  	0.07490  	0.23559  	0.65491  	-0.0445  	0.61294  	0.10098  	-0.5873  	0.33831  	-0.0218  	0.38559  	0.36894  	-0.0236  	-0.5614  	-1.2969  	1.19970  	-0.1104  	0.28183  	-0.2634  	0.54501  	0.23728  	-0.1865  	-0.6741  	0.43838  	-0.1627  	-0.1986  	-0.4244  	-0.3511  	-0.3582  	-0.2049  	-0.2429  	0.33679  	0.33447  	-0.0875  	0.30817  	0.21817  	0.33717  	0.04537  	-0.2948  	0.22930  	-0.0246  	0.00797  	0.04456  	-0.0130  	-0.0942  	-0.0597  	0.03391  	0.01513  	0.06920  	-0.0168  	-0.0048  	0.01636  	0.00224  	0.03151  	0.00694  	-0.0282  	0.02585  	0.00366  	-0.0408  	0.03639  	0.00662  	0.00671  	0.04172  	-0.0076  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
0.12766  	0.03256  	0.05880  	0.66278  	0.06361  	0.50577  	0.11848  	-0.6595  	0.27318  	0.01805  	0.29853  	0.39470  	0.07065  	-0.4414  	-1.2991  	1.09643  	-0.1443  	0.33721  	-0.2900  	0.61969  	0.06112  	-0.1702  	-0.8057  	0.44190  	-0.1174  	-0.2338  	-0.4628  	-0.2540  	-0.2470  	-0.1531  	-0.2510  	0.31744  	0.34827  	-0.0814  	0.31902  	0.25284  	0.23810  	-0.0190  	-0.2616  	0.29971  	0.00559  	0.02945  	0.01357  	-0.0181  	-0.0970  	-0.0487  	0.03526  	0.01086  	0.06065  	-0.0230  	-0.0012  	0.00744  	-0.0027  	0.02413  	0.00084  	-0.0322  	0.03536  	-0.0021  	-0.0419  	0.03208  	0.00466  	0.00716  	0.03564  	-0.0177  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
-0.3006  	-0.0874  	-0.2587  	0.81518  	0.25087  	0.30638  	0.08260  	-0.7777  	0.20239  	-0.0041  	0.28967  	0.61286  	0.00855  	-0.5886  	-1.2705  	1.00063  	-0.1604  	0.40486  	-0.2967  	0.68698  	-0.0304  	-0.2083  	-0.8217  	0.42139  	-0.2374  	-0.1790  	-0.5936  	-0.0545  	-0.1232  	-0.1988  	-0.2602  	0.25280  	0.35469  	-0.0686  	0.27849  	0.28700  	0.10641  	-0.0573  	-0.2666  	0.30361  	-0.0352  	0.05793  	-0.0364  	-0.0360  	-0.0964  	-0.0505  	0.05433  	-0.0001  	0.05118  	-0.0365  	0.00850  	0.00791  	-0.0118  	0.02463  	0.00328  	-0.0269  	0.03523  	0.00315  	-0.0379  	0.02339  	0.00211  	0.00154  	0.03070  	-0.0229  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
-0.2861  	-0.1062  	-0.1797  	0.63149  	0.11163  	0.41200  	0.05663  	-0.8102  	0.20489  	-0.0324  	0.27654  	0.45961  	-0.0424  	-0.7158  	-1.2850  	0.95853  	-0.1334  	0.38653  	-0.3182  	0.66171  	-0.0817  	-0.2207  	-0.7491  	0.37579  	-0.2092  	-0.1769  	-0.6034  	-0.0657  	-0.1134  	-0.1731  	-0.2378  	0.26296  	0.32647  	-0.0549  	0.22611  	0.29042  	0.10654  	-0.0322  	-0.2458  	0.28295  	-0.0002  	0.02806  	0.00684  	-0.0360  	-0.0911  	-0.0526  	0.05102  	-0.0144  	0.05666  	-0.0319  	0.00342  	0.01154  	-0.0071  	0.02149  	0.00512  	-0.0375  	0.04192  	0.00167  	-0.0337  	0.02736  	0.00016  	0.00345  	0.04293  	-0.0069  	-0.0074  	-0.0267  	0.03628  	-0.0031  	0.02322  	-0.2291  	
